{1.76, 2.35, 2.33, 0.76, 0.47, 1.23, 0.19, 1.04, 0.60, 0.62}, 
{1.68, 2.31, 2.32, 0.80, 0.47, 1.28, 0.24, 1.16, 0.63, 0.64}, 
{1.80, 2.59, 2.58, 0.55, 0.49, 1.05, 0.11, 0.83, 0.64, 0.66}, 
{1.37, 2.07, 2.08, 0.60, 0.35, 0.94, 0.11, 0.76, 0.42, 0.40}, 
{1.39, 1.99, 2.01, 0.60, 0.35, 0.95, 0.08, 0.81, 0.39, 0.39}, 
{1.37, 1.91, 1.91, 0.56, 0.34, 0.90, 0.05, 0.74, 0.40, 0.40}, 
{1.35, 2.20, 2.23, 0.81, 0.46, 1.27, 0.25, 0.88, 0.46, 0.46}, 
{1.35, 2.16, 2.18, 0.79, 0.48, 1.27, 0.26, 0.85, 0.48, 0.48}, 
{1.08, 1.84, 1.84, 0.61, 0.41, 1.03, 0.17, 0.70, 0.40, 0.41}, 
{1.43, 2.01, 2.02, 0.46, 0.35, 0.82, 0.08, 0.87, 0.50, 0.51}, 
{1.55, 2.34, 2.36, 0.63, 0.38, 1.01, 0.11, 0.99, 0.58, 0.60}, 
{1.37, 2.00, 2.02, 0.50, 0.34, 0.84, 0.10, 0.90, 0.47, 0.48}, 
{1.41, 2.06, 2.08, 0.66, 0.38, 1.04, 0.17, 0.77, 0.40, 0.41}, 
{1.51, 2.24, 2.27, 0.70, 0.42, 1.12, 0.18, 0.86, 0.45, 0.45}, 
{1.65, 2.36, 2.33, 0.51, 0.50, 1.02, 0.06, 1.01, 0.44, 0.47}, 
{1.32, 1.95, 1.95, 0.70, 0.44, 1.14, 0.28, 0.71, 0.40, 0.41}, 
{1.29, 1.83, 1.82, 0.72, 0.40, 1.12, 0.31, 0.73, 0.39, 0.41}, 
{1.53, 2.34, 2.33, 0.93, 0.44, 1.38, 0.37, 0.93, 0.47, 0.50}, 
{1.02, 1.36, 1.36, 0.33, 0.32, 0.65, 0.02, 0.55, 0.41, 0.39}, 
{1.14, 1.52, 1.54, 0.34, 0.38, 0.73, 0.03, 0.62, 0.43, 0.42}, 
{1.16, 1.62, 1.62, 0.37, 0.33, 0.70, 0.05, 0.71, 0.44, 0.41}, 
{1.51, 2.11, 2.13, 0.54, 0.34, 0.89, 0.13, 0.86, 0.51, 0.54}, 
{1.44, 1.94, 1.95, 0.50, 0.32, 0.81, 0.13, 0.82, 0.51, 0.53}, 
{1.43, 1.97, 2.00, 0.53, 0.31, 0.84, 0.14, 0.80, 0.51, 0.52}, 
{1.37, 1.80, 1.80, 0.46, 0.29, 0.75, 0.12, 0.78, 0.47, 0.47}, 
{1.67, 2.42, 2.43, 0.87, 0.50, 1.38, 0.30, 1.14, 0.89, 0.90}, 
{1.63, 2.53, 2.53, 0.96, 0.51, 1.47, 0.31, 1.11, 0.93, 0.93}, 
{1.73, 2.49, 2.49, 0.92, 0.46, 1.38, 0.32, 1.06, 0.86, 0.88}, 
{1.67, 2.22, 2.23, 0.41, 0.50, 0.91, 0.02, 0.92, 0.60, 0.61}, 
{1.42, 1.96, 2.01, 0.52, 0.43, 0.95, 0.03, 0.75, 0.54, 0.53}, 
{1.39, 1.87, 1.90, 0.47, 0.39, 0.86, 0.04, 0.79, 0.42, 0.42}, 
{1.12, 1.70, 1.72, 0.41, 0.37, 0.78, 0.02, 0.63, 0.42, 0.41}, 
{1.69, 2.32, 2.33, 0.71, 0.48, 1.19, 0.21, 1.06, 0.55, 0.53}, 
{1.47, 2.07, 2.08, 0.59, 0.39, 0.98, 0.09, 1.05, 0.54, 0.53}, 
{1.66, 2.37, 2.38, 0.62, 0.44, 1.06, 0.06, 1.09, 0.56, 0.53}, 
{1.44, 2.17, 2.18, 0.61, 0.40, 1.01, 0.09, 0.99, 0.48, 0.46}, 
{1.64, 2.29, 2.28, 0.56, 0.39, 0.95, 0.05, 1.04, 0.53, 0.50}, 
