{15.75, 23.14, 23.33, 6.98, 5.71, 12.69, 2.11, 9.30, 5.82, 5.91, 12.69, 12.77, 4.23, 4.23, 6.48, 6.40}, 
{14.17, 25.79, 25.80, 9.06, 4.18, 13.24, 1.74, 9.76, 7.27, 7.56, 11.96, 12.09, 4.53, 4.42, 7.96, 8.15}, 
{12.38, 18.14, 18.25, 5.74, 2.87, 8.61, 1.23, 7.38, 4.75, 4.74, 8.56, 8.65, 3.20, 3.20, 5.33, 5.12}, 
{14.84, 24.62, 24.52, 10.03, 5.68, 15.70, 3.51, 10.62, 8.09, 8.31, 14.01, 13.89, 3.62, 3.62, 8.29, 8.09}, 
{13.37, 21.42, 21.43, 8.15, 4.22, 12.37, 2.85, 8.66, 4.63, 4.56, 10.54, 10.82, 3.05, 3.14, 4.50, 4.36}, 
{18.65, 21.62, 21.57, 10.29, 2.39, 12.68, 4.91, 9.69, 7.03, 7.34, 9.62, 9.57, 4.30, 4.18, 7.60, 7.22}, 
{10.29, 17.69, 17.83, 8.06, 2.93, 10.99, 3.46, 7.17, 4.58, 4.36, 8.36, 8.27, 2.94, 2.85, 4.97, 4.98}, 
{13.90, 23.02, 23.16, 8.58, 4.78, 13.36, 3.04, 10.53, 4.82, 4.79, 12.22, 12.39, 3.69, 3.69, 6.06, 6.45}, 
{14.92, 23.69, 24.17, 10.60, 4.56, 15.15, 4.44, 10.72, 7.10, 7.24, 12.29, 12.53, 4.10, 4.22, 7.49, 7.68}, 
{11.35, 16.95, 17.32, 6.61, 4.07, 10.68, 3.14, 7.06, 4.50, 4.63, 9.19, 9.28, 2.72, 2.71, 4.74, 4.91}, 
