{15.91, 22.87, 23.10, 4.90, 6.00, 10.89, 0.76, 8.18, 5.46, 5.62, 12.07, 11.94, 4.14, 4.14, 5.80, 5.22}, 
{18.32, 26.98, 26.61, 5.81, 4.78, 10.58, 1.29, 9.55, 5.23, 5.35, 11.95, 11.80, 4.52, 4.52, 6.39, 6.30}, 
{14.71, 19.65, 19.61, 3.98, 3.52, 7.50, 0.21, 8.33, 3.94, 3.85, 8.77, 8.87, 2.96, 2.96, 3.87, 4.26}, 
{16.74, 23.10, 22.85, 3.79, 4.52, 8.30, 0.62, 8.95, 5.08, 5.08, 10.86, 10.81, 3.66, 3.66, 5.70, 5.11}, 
{14.47, 20.47, 20.45, 3.70, 4.00, 7.70, 0.15, 7.61, 3.93, 3.77, 9.20, 9.26, 3.18, 3.18, 3.94, 3.72}, 
{13.37, 16.28, 16.65, 4.76, 2.20, 6.96, 0.74, 7.16, 4.73, 4.93, 6.59, 6.67, 3.11, 3.11, 4.30, 4.23}, 
{12.35, 18.96, 18.89, 4.65, 3.32, 7.97, 1.04, 6.76, 3.69, 3.56, 8.46, 8.06, 3.04, 2.94, 3.69, 3.71}, 
{15.26, 22.23, 22.67, 3.55, 4.54, 8.07, 0.56, 10.30, 4.15, 3.99, 10.05, 10.24, 3.43, 3.32, 4.01, 4.82}, 
{15.71, 17.96, 18.04, 5.34, 2.97, 8.30, 1.68, 9.69, 3.76, 3.81, 8.48, 8.51, 3.16, 3.16, 4.83, 4.76}, 
{17.41, 24.65, 24.83, 6.41, 4.58, 10.99, 1.31, 9.42, 6.25, 6.22, 12.20, 12.31, 4.45, 4.45, 6.44, 6.45}, 
