{1.93, 2.20, 2.18, 1.04, 0.37, 1.41, 0.46, 1.14, 0.39, 0.42}, 
{2.04, 2.24, 2.22, 1.06, 0.37, 1.42, 0.43, 1.06, 0.40, 0.44}, 
{2.01, 2.20, 2.19, 1.01, 0.31, 1.33, 0.39, 0.98, 0.39, 0.43}, 
{1.52, 2.26, 2.22, 0.88, 0.31, 1.18, 0.33, 0.87, 0.40, 0.41}, 
{1.83, 2.76, 2.73, 1.04, 0.39, 1.43, 0.42, 1.04, 0.43, 0.41}, 
{1.65, 2.69, 2.68, 1.12, 0.41, 1.53, 0.41, 1.02, 0.45, 0.41}, 
{1.71, 2.00, 1.99, 0.66, 0.28, 0.95, 0.15, 0.82, 0.36, 0.31}, 
{1.50, 1.71, 1.74, 0.63, 0.28, 0.91, 0.19, 0.78, 0.38, 0.33}, 
{1.48, 1.72, 1.73, 0.65, 0.30, 0.96, 0.17, 0.75, 0.41, 0.36}, 
{1.43, 1.58, 1.60, 0.66, 0.23, 0.89, 0.23, 0.66, 0.41, 0.41}, 
{1.65, 1.77, 1.79, 0.72, 0.23, 0.95, 0.25, 0.84, 0.42, 0.41}, 
{1.62, 1.87, 1.90, 0.76, 0.35, 1.10, 0.29, 0.84, 0.42, 0.43}, 
{1.41, 1.61, 1.62, 0.61, 0.23, 0.84, 0.25, 0.75, 0.36, 0.37}, 
{1.51, 1.67, 1.65, 0.56, 0.26, 0.81, 0.21, 0.79, 0.35, 0.36}, 
{1.55, 1.76, 1.74, 0.57, 0.28, 0.85, 0.22, 0.83, 0.38, 0.40}, 
{1.96, 2.46, 2.48, 0.82, 0.39, 1.21, 0.21, 0.91, 0.45, 0.43}, 
{2.01, 2.42, 2.44, 0.77, 0.42, 1.18, 0.23, 0.87, 0.45, 0.46}, 
{1.90, 2.29, 2.32, 0.78, 0.35, 1.13, 0.20, 0.94, 0.42, 0.39}, 
{1.78, 2.14, 2.10, 0.93, 0.39, 1.31, 0.45, 0.95, 0.38, 0.39}, 
{1.86, 1.87, 1.81, 0.74, 0.32, 1.06, 0.39, 0.98, 0.33, 0.35}, 
{1.78, 1.93, 1.88, 0.76, 0.35, 1.12, 0.34, 0.83, 0.34, 0.38}, 
{1.58, 2.05, 2.05, 0.85, 0.44, 1.29, 0.45, 0.86, 0.35, 0.38}, 
{1.46, 2.07, 2.09, 0.81, 0.44, 1.25, 0.36, 0.76, 0.34, 0.37}, 
{1.41, 2.04, 2.04, 0.85, 0.43, 1.28, 0.38, 0.81, 0.32, 0.34}, 
{1.18, 1.40, 1.39, 0.44, 0.30, 0.75, 0.12, 0.64, 0.24, 0.23}, 
{1.19, 1.29, 1.30, 0.40, 0.25, 0.65, 0.17, 0.60, 0.23, 0.20}, 
{1.26, 1.40, 1.40, 0.43, 0.30, 0.72, 0.13, 0.69, 0.25, 0.23}, 
{1.61, 2.03, 2.02, 0.78, 0.25, 1.03, 0.31, 1.00, 0.45, 0.46}, 
{1.75, 2.27, 2.28, 0.78, 0.32, 1.10, 0.28, 1.10, 0.48, 0.49}, 
{1.50, 2.02, 2.03, 0.68, 0.27, 0.95, 0.25, 0.96, 0.44, 0.45}, 
{1.66, 2.09, 2.08, 0.88, 0.37, 1.26, 0.37, 0.98, 0.43, 0.42}, 
{1.65, 2.19, 2.22, 0.98, 0.38, 1.35, 0.38, 0.89, 0.43, 0.41}, 
{1.63, 2.10, 2.11, 0.88, 0.37, 1.26, 0.36, 0.98, 0.42, 0.42}, 
{1.86, 2.33, 2.31, 0.72, 0.51, 1.23, 0.33, 0.96, 0.43, 0.44}, 
{1.80, 2.44, 2.43, 0.41, 0.71, 1.12, 0.04, 0.87, 0.44, 0.44}, 
{1.73, 2.21, 2.20, 0.58, 0.50, 1.08, 0.20, 0.85, 0.53, 0.53}, 
{1.68, 2.23, 2.18, 0.35, 0.55, 0.90, 0.01, 0.79, 0.44, 0.47}, 
{1.35, 2.22, 2.27, 0.37, 0.59, 0.95, 0.05, 0.74, 0.38, 0.42}, 
{1.45, 1.73, 1.74, 0.70, 0.33, 1.03, 0.22, 0.78, 0.34, 0.34}, 
{1.44, 1.70, 1.72, 0.58, 0.32, 0.91, 0.19, 0.77, 0.34, 0.33}, 
{1.20, 1.48, 1.51, 0.65, 0.27, 0.92, 0.23, 0.68, 0.32, 0.32}, 
{1.20, 1.60, 1.62, 0.66, 0.25, 0.91, 0.22, 0.83, 0.33, 0.32}, 
{1.35, 1.66, 1.70, 0.72, 0.22, 0.94, 0.24, 0.95, 0.36, 0.34}, 
{1.67, 1.84, 1.83, 0.77, 0.33, 1.10, 0.34, 0.99, 0.41, 0.40}, 
{1.56, 1.84, 1.83, 0.85, 0.30, 1.15, 0.35, 0.91, 0.45, 0.43}, 
{1.45, 1.69, 1.69, 0.69, 0.30, 0.99, 0.28, 0.90, 0.38, 0.38}, 
{1.45, 1.74, 1.75, 0.68, 0.27, 0.95, 0.21, 0.87, 0.31, 0.30}, 
{1.39, 1.71, 1.70, 0.67, 0.24, 0.91, 0.19, 0.94, 0.35, 0.36}, 
{1.36, 1.75, 1.74, 0.71, 0.22, 0.93, 0.21, 0.99, 0.34, 0.36}, 
{1.79, 1.91, 1.93, 0.77, 0.32, 1.09, 0.29, 1.10, 0.32, 0.33}, 
{1.56, 1.86, 1.89, 0.79, 0.33, 1.12, 0.28, 0.93, 0.34, 0.32}, 
{1.68, 1.80, 1.80, 0.78, 0.30, 1.08, 0.33, 1.06, 0.35, 0.35}, 
